"","Scientific_Name","size","Cost","Impact","solution","Total_Cost","Total_Impact"
"1","Dimorphotheca ecklonis","Large",75,87.41,9,675,786.69
"2","Arctotis stoechadifolia","Medium",45,59.92,9,405,539.28
"3","Osteospermum spp.","Large",75,100,5,375,500
"4","Gazania rigens","Large",60,80.52,6,360,483.12
"5","Dianthus spp.","Large",80,74.29,6,480,445.74
"6","Ixia spp.","Large",75,96.83,4,300,387.32
"7","Anemone coronaria","Large",95,74.25,5,475,371.25
"8","Ranunculus asiaticus","Large",75,73.01,3,225,219.03
"9","Penstemon spp.","Medium",65,58.24,3,195,174.72
"10","Phormium tenax","Medium",100,69.52,2,200,139.04
"11","Sparaxis tricolor","Large",70,68.57,2,140,137.14
"12","Festuca glauca","Large",80,91.78,1,80,91.78
"13","Gaillardia × grandiflora","Small",30,22.65,4,120,90.6
"14","Rosa floribunda","Small",65,29.14,3,195,87.42
"15","Stachys byzantina","Large",75,85.33,1,75,85.33
"16","Achillea millefolium","Large",85,79.33,1,85,79.33
"17","Helichrysum petiolare","Medium",60,69.46,1,60,69.46
"18","Rosa hybrid teas","Small",70,31.24,2,140,62.48
"19","Ranunculus asiaticus","Medium",50,54.2,1,50,54.2
"20","Miscanthus sinensis","Medium",90,54.08,1,90,54.08
"21","Watsonia spp.","Medium",75,47.68,1,75,47.68
"22","Pennisetum setaceum ‘Rubrum’","Small",45,47.01,1,45,47.01
"23","Rosa ‘Iceberg’","Small",75,31.03,1,75,31.03
"24","Rosa chinensis ‘Mutabilis’","Small",80,23.66,1,80,23.66
