"","iterations","start_temp","cooling_rate","best_score","final_temp","final_score","mean_score","sd_score"
"1",5000,1,0.85,2.79699429727534,0,2.79699429727534,2.65535439460229,0.233285208536631
"2",10000,1,0.85,2.8929848421965,0,2.8929848421965,2.75504240138871,0.230608116177264
"3",15000,1,0.85,2.95287045425368,0,2.95287045425368,2.83344856469141,0.166122210748166
"4",5000,5,0.85,2.7852070141344,0,2.7852070141344,2.7125861576086,0.197836366089824
"5",10000,5,0.85,2.86427856018883,0,2.86427856018883,2.78735178928037,0.176680069463445
"6",15000,5,0.85,2.86425885473648,0,2.86425885473648,2.82146080839984,0.142874951618734
"7",5000,10,0.85,2.77669437987885,0,2.77669437987885,2.65539667217688,0.254029253423068
"8",10000,10,0.85,2.91675262234999,0,2.91675262234999,2.8315989581282,0.186046312894663
"9",15000,10,0.85,2.85610597959394,0,2.85610597959394,2.7896426845001,0.131125885408288
"10",5000,1,0.9,2.88230615869684,1.63135018534283e-229,2.88230615869684,2.8078636897713,0.223952017399733
"11",10000,1,0.9,2.86323082965038,0,2.86323082965038,2.7835112925482,0.178885841266549
"12",15000,1,0.9,2.86571197752125,0,2.86571197752125,2.81426422373848,0.136770623307643
"13",5000,5,0.9,2.86230297562193,8.15675092671413e-229,2.86230297562193,2.75474967676792,0.240148702732222
"14",10000,5,0.9,2.86118226568764,0,2.86118226568764,2.81220968247742,0.146056486210282
"15",15000,5,0.9,2.85571648894695,0,2.85571648894695,2.79651989696453,0.125706750057738
"16",5000,10,0.9,2.78778505262806,1.63135018534283e-228,2.78778505262806,2.68896930488632,0.269309370351154
"17",10000,10,0.9,2.86229569038191,0,2.86229569038191,2.77637000405645,0.205895389811772
"18",15000,10,0.9,2.86799544192681,0,2.86799544192681,2.82170612630579,0.159203356384178
"19",5000,1,0.95,2.81536792371855,4.14979310000879e-112,2.81536792371855,2.72706487770068,0.230639390360523
"20",10000,1,0.95,2.91730490836134,1.72207827728806e-223,2.91730490836134,2.80066748737781,0.203054814357878
"21",15000,1,0.95,2.92358622575921,0,2.92358622575921,2.82378896566981,0.184776122926617
"22",5000,5,0.95,2.84512585276409,2.0748965500044e-111,2.84512585276409,2.67530348789099,0.3228450409695
"23",10000,5,0.95,2.90965259311452,8.61039138644029e-223,2.90965259311452,2.77897447481765,0.223050704469404
"24",15000,5,0.95,2.90151323916357,0,2.90151323916357,2.81872969372115,0.19574348771353
"25",5000,10,0.95,2.77795293229087,4.14979310000879e-111,2.77795293229087,2.6611710998416,0.28523074815715
"26",10000,10,0.95,2.92799422231084,1.72207827728806e-222,2.92799422231084,2.83261742286496,0.215976273995861
"27",15000,10,0.95,2.90398917360505,0,2.90398917360505,2.82065345505994,0.197929289940117
"28",5000,1,0.99,2.84259510855542,1.49959156099795e-22,2.84259510855542,2.67156587888163,0.386168044330955
"29",10000,1,0.99,2.85859648808219,2.24877484981628e-44,2.85859648808219,2.74526437269961,0.288766630907432
"30",15000,1,0.99,2.89946500478336,3.37224378736894e-66,2.89946500478336,2.79972981934835,0.256284439361233
"31",5000,5,0.99,2.85398848944465,7.49795780498977e-22,2.85398848944465,2.57855501575693,0.558615167971648
"32",10000,5,0.99,2.90299487481199,1.12438742490814e-43,2.90299487481199,2.76753254287588,0.396745016510991
"33",15000,5,0.99,2.9470886241722,1.68612189368447e-65,2.9470886241722,2.80201354650492,0.327529728002508
"34",5000,10,0.99,2.79596821671765,1.49959156099795e-21,2.79596821671765,2.55676764753591,0.540675442007688
"35",10000,10,0.99,2.88024877548461,2.24877484981628e-43,2.88024877548461,2.71749669435415,0.429543523191823
"36",15000,10,0.99,2.87486496074944,3.37224378736894e-65,2.87486496074944,2.73751355351505,0.365675694590705
